movie_id,title,genres,keywords,overview,director,cast,rating
14,Back to the Future,"Adventure,Comedy,Sci-Fi","time travel,delorean,1950s,inventor","A high school student is accidentally sent thirty years into the past in a time-traveling DeLorean.","Robert Zemeckis","Michael J. Fox, Christopher Lloyd, Lea Thompson",8.5
15,The Lion King,"Animation,Adventure,Drama","lion,king,uncle,africa","A young lion prince flees his kingdom after his father is murdered, only to learn the true meaning of responsibility.","Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones",8.5
16,Spirited Away,"Animation,Adventure,Fantasy","spirit,bathhouse,witch,dragon","A young girl wanders into a world ruled by gods, witches, and spirits where humans are changed into beasts.","Hayao Miyazaki","Rumi Hiiragi, Miyu Irino, Mari Natsuki",8.6
17,The Silence of the Lambs,"Crime,Drama,Thriller","serial killer,fbi,cannibal,psychological","A young F.B.I. cadet receives help from an incarcerated cannibal killer to catch another active serial killer.","Jonathan Demme","Jodie Foster, Anthony Hopkins, Scott Glenn",8.6
18,Jurassic Park,"Action,Adventure,Sci-Fi","dinosaurs,theme park,island,genetic","An island theme park populated by cloned dinosaurs suffers a power failure, letting the creatures run loose.","Steven Spielberg","Sam Neill, Laura Dern, Jeff Goldblum",8.2
19,Se7en,"Crime,Drama,Mystery","serial killer,detective,seven deadly sins","Two detectives hunt a serial killer who uses the seven deadly sins as his motives for gruesome murders.","David Fincher","Morgan Freeman, Brad Pitt, Kevin Spacey",8.6
20,The Prestige,"Drama,Mystery,Sci-Fi","magician,rivalry,obsession,illusion","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion.","Christopher Nolan","Hugh Jackman, Christian Bale, Scarlett Johansson",8.5
21,Django Unchained,"Drama,Western","slavery,bounty hunter,revenge,south","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal plantation owner.","Quentin Tarantino","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio",8.4
22,Whiplash,"Drama,Music","drummer,teacher,obsession,jazz","A promising young drummer enrolls at a cut-throat music conservatory where his dreams are mentored by an abusive teacher.","Damien Chazelle","Miles Teller, J.K. Simmons, Paul Reiser",8.5
23,La La Land,"Comedy,Drama,Music","musical,jazz,romance,hollywood","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their dreams.","Damien Chazelle","Ryan Gosling, Emma Stone, John Legend",8.0
24,Parasite,"Drama,Thriller,Comedy","class conflict,family,deception,korea","Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.","Bong Joon Ho","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",8.6
25,Spider-Man: Into the Spider-Verse,"Animation,Action,Adventure","superhero,spider-man,multiverse,coming-of-age","Teen Miles Morales becomes the new Spider-Man of his universe, and must join with other Spider-heroes to stop a threat.","Bob Persichetti, Peter Ramsey","Shameik Moore, Jake Johnson, Hailee Steinfeld",8.4
26,The Departed,"Crime,Drama,Thriller","undercover,boston,mob,informant","An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in Boston.","Martin Scorsese","Leonardo DiCaprio, Matt Damon, Jack Nicholson",8.5
27,Goodfellas,"Biography,Crime,Drama","mafia,mobster,heist,true story","The story of Henry Hill and his life in the mob, covering his relationship with his wife and his partners.","Martin Scorsese","Robert De Niro, Ray Liotta, Joe Pesci",8.7
28,Avengers: Infinity War,"Action,Adventure,Sci-Fi","superhero,marvel,space,thanos","The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos.","Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",8.4
29,The Matrix Reloaded,"Action,Sci-Fi","virtual reality,simulation,hacker,sequel","Neo, Morpheus, and Trinity lead the fight against the machine army as Zion is threatened with destruction.","Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",7.2
30,Shutter Island,"Mystery,Thriller","island,asylum,detective,psychological","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Martin Scorsese","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley",8.2
31,Eternal Sunshine of the Spotless Mind,"Drama,Romance,Sci-Fi","memory erasure,heartbreak,love,surreal","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","Michel Gondry","Jim Carrey, Kate Winslet, Kirsten Dunst",8.3
32,WALL-E,"Animation,Adventure,Family","robot,space,earth,future","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will decide the fate of mankind.","Andrew Stanton","Ben Burtt, Elissa Knight, Jeff Garlin",8.4
33,Ratatouille,"Animation,Adventure,Comedy","chef,rat,paris,cooking","A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.","Brad Bird, Jan Pinkava","Patton Oswalt, Ian Holm, Lou Romano",8.1
34,No Country for Old Men,"Crime,Drama,Thriller","drug money,hitman,sheriff,texas","Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash.","Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin",8.2
35,The Terminator,"Action,Sci-Fi","cyborg,future,time travel,assassin","A human soldier is sent from 2029 to 1984 to protect a woman whose unborn son will lead humanity in a war against machines.","James Cameron","Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",8.0
36,Terminator 2: Judgment Day,"Action,Sci-Fi","cyborg,future,time travel,protector","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son from a more advanced cyborg.","James Cameron","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong",8.6
37,The Sixth Sense,"Drama,Mystery,Thriller","ghost,child,psychologist,twist","A psychological thriller about a young boy who communicates with spirits and the dispirited child psychologist who tries to help him.","M. Night Shyamalan","Bruce Willis, Haley Joel Osment, Toni Collette",8.1
38,The Usual Suspects,"Crime,Mystery,Thriller","lineup,heist,customs,verbal","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a lineup.","Bryan Singer","Kevin Spacey, Gabriel Byrne, Chazz Palminteri",8.5
39,Toy Story,"Animation,Adventure,Comedy","toys,friendship,childhood,rivalry","A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's room.","John Lasseter","Tom Hanks, Tim Allen, Don Rickles",8.3
40,Memento,"Mystery,Thriller","short-term memory,revenge,investigation,nonlinear","A man with short-term memory loss attempts to track down his wife's murderer using notes, photos, and tattoos.","Christopher Nolan","Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",8.4
